text,created_at,count_hashtags,user,with_link,with_photo,date,hour,with_link_or_photo,polarity,compound_score
"RT : Imagine 6 American Muslims arrested for a plot to ""overthrow the government and kidnap a governor"" and not using the word ""terr…",2020-10-08 18:16:31,0,AOC,False,False,08-10-2020,18:00,False,"{'neg': 0.14, 'neu': 0.86, 'pos': 0.0, 'compound': -0.4767}",-0.4767
Maybe we should be. https://t.co/AC5491EW56,2020-10-08 18:13:25,0,AOC,True,False,08-10-2020,18:00,True,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
RT : Reminder: The Green New Deal is cheaper than a climate apocalypse.,2020-10-08 18:12:35,0,AOC,False,False,08-10-2020,18:00,False,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
"RT : Facebook's own researchers found that “64% of all extremist group joins are due to our recommendation tools"" and that “our reco…",2020-10-08 17:55:31,0,AOC,False,False,08-10-2020,17:00,False,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
RT : Don’t call them a “militia” just because they are Caucasian. They are domestic terrorists.,2020-10-08 17:52:06,0,AOC,False,False,08-10-2020,17:00,False,"{'neg': 0.24, 'neu': 0.76, 'pos': 0.0, 'compound': -0.6249}",-0.6249
RT : Every available study and dataset says that rightwing domestic terrorism is currently the biggest terror threat to Americ…,2020-10-08 17:05:56,0,AOC,False,False,08-10-2020,17:00,False,"{'neg': 0.416, 'neu': 0.584, 'pos': 0.0, 'compound': -0.9081}",-0.9081
Genuine question for the media / law enforcement: why are you calling these armed neo-nazi groups breaking the law “militias” instead of “gangs” or “domestic terrorist groups?”,2020-10-08 16:05:33,0,AOC,False,False,08-10-2020,16:00,False,"{'neg': 0.158, 'neu': 0.842, 'pos': 0.0, 'compound': -0.6908}",-0.6908
"RT : Good morning, Trump is demanding the arrest of his political rivals, Pence won’t commit to a peaceful transfer of power, an…",2020-10-08 13:45:08,0,AOC,False,False,08-10-2020,13:00,False,"{'neg': 0.15, 'neu': 0.559, 'pos': 0.29, 'compound': 0.6124}",0.6124
"Journalists:“How do you feel about the Green New Deal” is not a climate change question.

Try: “What is your plan to bring down emissions?” so voters actually understand if a candidate even *has* a plan for the worst impending crisis of our time, and can share what it is.",2020-10-08 13:30:31,0,AOC,False,False,08-10-2020,13:00,False,"{'neg': 0.154, 'neu': 0.805, 'pos': 0.041, 'compound': -0.7906}",-0.7906
"I still can’t get over how bad the climate change section of the debate was last night.

This is the consequence of no climate questions in debates for years.

The questions were childish, no follow-up questions for basic information, &amp; there was almost no talk of solutions.",2020-10-08 13:28:20,0,AOC,False,False,08-10-2020,13:00,False,"{'neg': 0.228, 'neu': 0.741, 'pos': 0.031, 'compound': -0.8625}",-0.8625
"RT : ""With regard to climate change, the climate is changing""
 was an answer on an important policy topic tonight.",2020-10-08 05:35:01,0,AOC,False,False,08-10-2020,05:00,False,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.2023}",0.2023
"Just to be clear: there is nothing “pro-life” about denying people comprehensive sexual education, making birth control harder to access, forcing others to give birth against their will, and stripping them of healthcare and food assistance afterwards.",2020-10-08 04:14:29,0,AOC,False,False,08-10-2020,04:00,False,"{'neg': 0.0, 'neu': 0.837, 'pos': 0.163, 'compound': 0.6844}",0.6844
